"product_id","Подкатегория прайс-листа","Тип","Серия прайс-листа","Категория","Подразделение","Подкатегория","Наименование","Артикул","Бренд","Описание","Валюта РРЦ","PPЦ","Валюта дилерская","Дилерская цена","МИЦ","Валюта МИЦ","Параметри"
"100426147","Инвертор","Спліт-системи консольного типу","UFV","Кондиціонери побутові","Климат Київ","Побутовий","RAS-B10UFV-E/RAS-10N3AVR-E","0101011204-100426147","Toshiba","Кондиціонер серії UFV Inverter. Переваги серії UFV : інверторне керування, автоматичний перезапуск після перебоїв з електропостачанням, система фільтрації повітря IAQ,  самоочищення внутрішнього блоку, режим підвищеної потужності Hi-power, режим сну Sleep, таймер, режим економії електроенергії.","USD","1378","USD","992","0.01","грн."
"100419739","","різьбові","","Насоси","Тепло Київ","циркуляційні насоси","Насос циркуляционный для сист.отопл. U35-25-180","0310010119-100419739","Roda","Насос циркуляційний з різьбовим з'єднанням та мокрим ротором для систем опалення. Монтажна высота 180 мм, максимальна продуктивність Q=3,5m³/h, максимальний опір системи H=4m. Використовується  в невеликих системах теплопостачання: теплопостачання бойлера ГВП, групи розподілення допоміжних систем.","EUR","50.02","EUR","37.93","1380","грн."
"100433910","","Інше","","Очищувачі/Зволожувачі","Климат Київ","Ультразвукові зволожувачі","SP-55W","0102010001-100433910","Neoclima","LED  дисплей, ручне керування зволоженням при низькій, середній, високій інтенсивності, висока продуктивність ≥ 300 мл/год, можливість безперервної роботи до 14 годин, автоматичне вимкнення при недостатній кількості води або при перевертанні, можливість використання ароматичних речовин, зручність в догляді і очищенні, низьке енергоспоживання, низький рівень шуму, можливість використання фільтрів для води (купуються окремо), великий резервуар для води 4л, 10-ти годинний таймер.","USD","70","USD","50","1699","грн."
"100426148","Инвертор","Спліт-системи консольного типу","UFV","Кондиціонери побутові","Климат Київ","Побутовий","RAS-B13UFV-E/RAS-13N3AVR-E","0101011204-100426148","Toshiba","Кондиціонер серії UFV Inverter. Переваги серії UFV : інверторне керування, автоматичний перезапуск після перебоїв з електропостачанням, система фільтрації повітря IAQ,  самоочищення внутрішнього блоку, режим підвищеної потужності Hi-power, режим сну Sleep, таймер, режим економії електроенергії.","USD","1684","USD","1205","0.01","грн."
"100428373","","Бі-блок","","Теплові насоси","ПРОМ Київ","Повітря-вода","WH-UX09HE8","0205010102-100428373","Panasonic","","EUR","3983.2","EUR","2190.76","124100","грн."
"100418737","","30 метрів","","Аксесуари","Климат Київ","Ізоляція","Труба теплоіз. з ""ОЛІГОПЕНА"" в.д. 20мм","0107050628-100418737","Олигопен","Теплоізоляція для труби ø 3/4"".","USD","30","USD","23","0.01","грн."
"100418736","","30 метрів","","Аксесуари","Климат Київ","Ізоляція","Труба теплоіз. з ""ОЛІГОПЕНА"" в.д. 16мм","0107050628-100418736","Олигопен","Теплоізоляція для труби ø 5/8"".","USD","26","USD","21","0.01","грн."
"100419139","","Чавунні","","Котли","Тепло Київ","Твердопаливні","BF-03","0301010119-100419139","Roda","Підлоговий твердопаливний котел, з чавунним теплообмінником, в комплекті з механічним терморегулятором. Енергонезалежний. Адаптований для роботи з пелетним пальником.","USD","720","USD","540","17199","грн."
"100428920","","Вертикальні","емальований","Накопичувальні водонагрівачі","Тепло Київ","Електричні","Roda Aqua White 100 M","0304050119-100428920","Roda","Водонагрівач електричний накопичувальний, вертикальний, з мокрим теном. Внутрішній бак  покритий цирконієвою емаллю.  Додатковий захист - магнієвий анод збільшеної площі.","EUR","115","EUR","88","2999","грн."
"000007023","","","","","ПРОМ Київ","","LV-KDCS 250/3","0","Lessar","","USD","27.17","USD","27.17","0","грн."
"000013851","","","","","ПРОМ Київ","","LV-KDCK 100/3","0","Lessar","","USD","33.43","USD","33.43","0","грн."
"000004053","","","","","ПРОМ Київ","","LV-SDT 50x25/9","0","Lessar","","USD","55.52","USD","55.52","0","грн."
"100430986","","Автоматика","","Котли","Тепло Київ","Аксесуари","Бездротовий програмований кімнатний термостат CRONO 7 Wireless Immergas 3.021624","0301070247-100430986","Immergas","Бездротовий програмований кімнатний термостат CRONO 7 Wireless для котлів Immergas.","EUR","245","EUR","175","6377","грн."
"100430235","Инвертор","Спліт-системи підстельового типу","2.0 SERIES (-15 С )","Кондиціонери напівпромислові","Климат Київ","Напівпромисловий","LBСI2-60IHS2/LBUI2-60OHS2","0105021121-100430235","Leberg","Кондиціонер зручний в монтажі, оснащений автоматичною роботою повітряних затулок.","USD","2660","USD","1727","0.02","грн."
